"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"27","205HP421","ພືດຂັ້ນສູງ","3(2-2-5)","BSCBIO","4","1","12","2023-2024","3","3","","",""
"28","205xxxxx1","ວິຊາເລືອກ","3(1-4-4)","BSCBIO","4","1","13","2023-2024","3","3","","",""
"50","205FP421xx","ໂຄງການຈົບຊັ້ນ","5(0-0-20)","BSCBIO","4","2","12","2023-2024","5","5","5","",""
"51","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCBIOT","1","1","1","2023-2024","2","2","20","37",""
"52","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCBIOT","1","1","1","2023-2024","2","2","","",""
"53","205BI111x","ພື້ນຖານຊີວະວິທະຍາ","3(2-2-5)","BSCBIOT","1","1","2","2023-2024","3","3","","",""
"54","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCBIOT","1","1","2","2023-2024","3","3","","",""
"55","205CH111","ເຄມີສາດ 1","3(3-0-6)","BSCBIOT","1","1","2","2023-2024","3","3","","",""
"56","205CL111","ທົດລອງເຄມີສາດ 1","1(0-3-1)","BSCBIOT","1","1","2","2023-2024","1","1","","",""
"57","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCBIOT","1","1","1","2023-2024","2","2","","",""
"58","205GP111x","ຟິຊິກສາດທົ່ວໄປ","3(2-2-5)","BSCBIOT","1","1","2","2023-2024","3","3","","",""
"59","205PL111x","ທົດລອງຟີຊິກສາດ 1","1(0-3-1)","BSCBIOT","1","1","2","2023-2024","1","1","","",""
"78","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCBIOT","1","2","1","2023-2024","2","2","17","",""
"79","205BT122","ພືດສາດ","3(2-2-5)","BSCBIOT","1","2","2","2023-2024","3","3","","",""
"80","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCBIOT","1","2","2","2023-2024","3","3","","",""
"81","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCBIOT","1","2","1","2023-2024","2","2","","",""
"82","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCBIOT","1","2","2","2023-2024","3","3","","",""
"83","205OG221","ເຄມີອົງຄະທາດ","3(2-2-5)","BSCBIOT","1","2","2","2023-2024","3","3","","",""
"84","205TB112","ເທັກນິກທາງຊີວະວິທະຍາ","1(0-2-1)","BSCBIOT","1","2","2","2023-2024","1","1","","",""
"60","205BC221","ຊີວະເຄມີ 1","3(2-2-5)","BSCBIOT","2","1","12","2023-2024","3","3","17","34",""
"61","205EB211","ພາສາອັງກິດສໍາລັບຊີວະວິທະຍາ 3","2(0-4-2)","BSCBIOT","2","1","2","2023-2024","2","2","","",""
"62","205EC122","ນິເວດວິທະຍາ","3(2-2-5)","BSCBIOT","2","1","2","2023-2024","3","3","","",""
"63","205HP221","ຮໍໂມນພືດ","3(2-2-5)","BSCBIOT","2","1","12","2023-2024","3","3","","",""
"64","205MI221","ຈຸລະຊີບວິທະຍາທົ່ວໄປ        ","3(2-2-5)","BSCBIOT","2","1","2","2023-2024","3","3","","",""
"65","231AN211","ເຄມີວິເຄາະ","3(2-3-5)","BSCBIOT","2","1","2","2023-2024","3","3","","",""
"85","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCBIOT","2","2","1","2023-2024","3","3","17","",""
"86","205AM222","ຈຸລະຊີບນຳໃຊ້","3(2-2-5)","BSCBIOT","2","2","12","2023-2024","3","3","","",""
"87","205BC222","ຊີວະເຄມີ 2","3(2-2-5)","BSCBIOT","2","2","12","2023-2024","3","3","","",""
"88","205EB212","ພາສາອັງກິດສໍາລັບຊີວະວິທະຍາ 4","2(0-4-2)","BSCBIOT","2","2","2","2023-2024","2","2","","",""
"89","205FG222","ເຫັດ-ຣາວິທະຍາ","3(2-2-5)","BSCBIOT","2","2","12","2023-2024","3","3","","",""
"90","205PH222","ເຕັກໂນໂລຊີໃນການເກັບຮັກສາຜົນຜະລິດ","3(2-2-5)","BSCBIOT","2","2","12","2023-2024","3","3","","",""
"66","115PO101","ວິຊາການເມືອງ","2(2-0-4)","BSCBIOT","3","1","12","2023-2024","2","2","15","33",""
"67","205EB311","ພາສາອັງກິດສໍາຫຼັບຊີວະວິທະຍາ 5","2(0-4-2)","BSCBIOT","3","1","2","2023-2024","2","2","","",""
"68","205FC321x","ເຄມີອາຫານ","3(2-2-5)","BSCBIOT","3","1","12","2023-2024","3","3","","",""
"69","205RB311","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCBIOT","3","1","2","2023-2024","2","2","","",""
"70","205TC321","ການເພາະລ້ຽງແພຈຸລັງພືດ","3(2-2-5)","BSCBIOT","3","1","12","2023-2024","3","3","","",""
"71","205TF321","ເຕັກໂນໂລຊີໃນການໝັກ","3(2-2-5)","BSCBIOT","3","1","12","2023-2024","3","3","","",""
"91","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCBIOT","3","2","1","2023-2024","2","2","18","",""
"92","205EB312","ພາສາອັງກິດສໍາຫຼັບຊີວະວິທະຍາ 6","2(0-4-2)","BSCBIOT","3","2","2","2023-2024","2","2","","",""
"93","205EN322","ເອນໄຊມ໌ວິທະຍາ","3(2-2-5)","BSCBIOT","3","2","12","2023-2024","3","3","","",""
"94","205FP322","ການແປຮູບອາຫານ","3(2-2-5)","BSCBIOT","3","2","12","2023-2024","3","3","","",""
"95","205GE222","ກຳມະພັນວິທະຍາ","3(2-2-5)","BSCBIOT","3","2","12","2023-2024","3","3","","",""
"96","205SB322","ສຳມະນາ","1(0-1-1)","BSCBIOT","3","2","12","2023-2024","1","1","","",""
"97","205ST322xxx","ຝຶກງານ","1(0-0-4)","BSCBIOT","3","2","12","2023-2024","1","1","","",""
"98","205TX322","ພິດວິທະຍາ","3(2-2-5)","BSCBIOT","3","2","12","2023-2024","3","3","","",""
"72","205BC421x","ການຄວບຄຸມທາງຊີວະວິທະຍາ","3(2-2-5)","BSCBIOT","4","1","12","2023-2024","3","3","16","21",""
"73","205BS421","ຄວາມປອດໄພທາງດ້ານເຕັກໂນໂລຊີຊີວະພາບ","3(2-2-5)","BSCBIOT","4","1","12","2023-2024","3","3","","",""
"74","205MT421x","ອາຫານ ແລະ ໂພຊະນາການ","3(2-2-5)","BSCBIOT","4","1","12","2023-2024","3","3","","",""
"75","205FP421x","ໂຄງການຈົບຊັ້ນ","1(0-0-4)","BSCBIOT","4","1","8","2023-2024","1","1","","",""
"76","205FN421x","ເຕັກໂນໂລຊີການປູກເຫັດ","3(2-2-5)","BSCBIOT","4","1","12","2023-2024","3","3","","",""
"77","205xxxxx8","ວິຊາເລືອກ","3(1-4-4)","BSCBIOT","4","1","13","2023-2024","3","3","","",""
"99","205FP421xx","ໂຄງການຈົບຊັ້ນ","5(0-0-20)","BSCBIOT","4","2","8","2023-2024","5","5","5","",""
"100","204AD121","ໂຄງສ້າງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ","3(2-2-5)","BSCCCS","1","1","12","2023-2024","3","3","19","37",""
"101","204DS121","Data Science","3(2-2-5)","BSCCCS","1","1","12","2023-2024","3","3","","",""
"102","204MB111","ການຂຽນໂປຣແກຣມສໍາລັບມືຖື","3(2-2-5)","BSCCCS","1","1","12","2023-2024","3","3","","",""
"103","204MI101","ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ","2(2-0-4)","BSCCCS","1","1","2","2023-2024","2","2","","",""
"104","204OO111","ການພັດທະນາລະບົບດ້ວຍຮູບແບບວັັດຖຸ","3(2-2-5)","BSCCCS","1","1","12","2023-2024","3","3","","",""
"105","204OS111","ລະບົບປະຕິບັດການ","2(2-0-4)","BSCCCS","1","1","2","2023-2024","2","2","","",""
"106","204RE301","ສະຖິຕິວິໄຈ","3(2-2-5)","BSCCCS","1","1","2","2023-2024","3","3","","",""
"114","204CN111","ການສື່ສານຂໍ້ມູນ ແລະ ເຄືອຂ່າຍ","3(2-2-5)","BSCCCS","1","2","2","2023-2024","3","3","18","",""
"115","204DB111","ລະບົບຖານຂໍ້ມູນ","3(2-2-5)","BSCCCS","1","2","12","2023-2024","3","3","","",""
"116","204DD121","Desktop Application Development","3(2-2-5)","BSCCCS","1","2","12","2023-2024","3","3","","",""
"117","204DM121","ການຂຸດຄົົ້ນຂໍ້ມູນ (Data Mining)","3(2-2-5)","BSCCCS","1","2","12","2023-2024","3","3","","",""
"118","204MC101","Mathematics for Computing","3(2-2-5)","BSCCCS","1","2","12","2023-2024","3","3","","",""
