"ລາຍວິຊາຮຽນ 2023-2024","","","","","","","","","","","","",""
"231","205IL211","ທົດ​ລອງ​ເຄມີອະນົງຄະທາດ1","1(0-2-1)","BSCCHEV","1","2","2","2023-2024","1","1","","",""
"232","205IN211","ເຄມີອະນົງຄະທາດ1","3(3-0-6)","BSCCHEV","1","2","2","2023-2024","3","3","","",""
"197","205AL221","ທົດລອງມົນລະພິດທາງອາກາດ","1(0-3-1)","BSCCHEV","2","1","12","2023-2024","1","1","20","40",""
"198","205AP221xx","ມົນລະພິດທາງອາກາດ  ","2(2-0-4)","BSCCHEV","2","1","12","2023-2024","2","2","","",""
"199","205EL211","ພາສາອັງກິດສຳລັບເຄມີສາດ 1","2(0-4-2)","BSCCHEV","2","1","12","2023-2024","2","2","","",""
"200","205EV221","ເຄມີສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCHEV","2","1","12","2023-2024","2","2","","",""
"201","205IN222","ເຄ​ມີີອະ​ນົງ​ຄະ​ທາດ 2","3(3-0-6)","BSCCHEV","2","1","12","2023-2024","3","3","","",""
"202","205OL221","ທົດລອງເຄມີອົງຄະທາດ 1","1(0-3-1)","BSCCHEV","2","1","12","2023-2024","1","1","","",""
"203","205OR221x","ເຄມີອົງຄະທາດ 1","3(3-0-6)","BSCCHEV","2","1","12","2023-2024","3","3","","",""
"204","205PH211","ເຄມີຟິຊິກ 1","3(3-0-6)","BSCCHEV","2","1","1","2023-2024","3","3","","",""
"","205FW221","ຊີວະວິ​ທະ​ຍາ​ນ້ຳ​ຈືດ ","2(2-0-4)","BSCCHEV","2","1","12","2023-2024","2","2","","",""
"205","205PL211","ທົດລອງເຄມີຟິຊິກ 1","1(0-2-1)","BSCCHEV","2","1","1","2023-2024","1","1","","",""
"233","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCCHEV","2","2","1","2023-2024","3","3","20","",""
"234","205AL321","ທົດລອງເຄມີວິເຄາະ 1","1(0-2-1)","BSCCHEV","2","2","12","2023-2024","1","1","","",""
"235","205AN321","ເຄມີວິເຄາະ 1","3(3-0-6)","BSCCHEV","2","2","12","2023-2024","3","3","","",""
"236","205EL212","ພາສາອັງກິດສຳລັບເຄມີສາດ​ 2","2(0-4-2)","BSCCHEV","2","2","12","2023-2024","2","2","","",""
"237","205NP221","ມົນລະພິດທາງສຽງ ແລະ ການສັ່ນສະເທືອນ","2(2-0-4)","BSCCHEV","2","2","12","2023-2024","2","2","","",""
"238","205OR222","ເຄມີອົງຄະທາດ 2","3(3-0-6)","BSCCHEV","2","2","12","2023-2024","3","3","","",""
"239","205SC221","ເຄມີສິ່ງແວດລ້ອມຂອງດິນ","2(2-0-4)","BSCCHEV","2","2","12","2023-2024","2","2","","",""
"240","205SL221","ທົດລອງເຄມີສິ່ງແວດລ້ອມຂອງດິນ","1(0-3-1)","BSCCHEV","2","2","12","2023-2024","1","1","","",""
"241","205WL221","ທົດລອງວິເຄາະຄຸນະພາບນໍ້າ","1(0-3-1)","BSCCHEV","2","2","12","2023-2024","1","1","","",""
"242","205WQ221","ວິເຄາະຄຸນະພາບນໍ້າ  ","2(2-0-4)","BSCCHEV","2","2","12","2023-2024","2","2","","",""
"206","205AE321","ນິເວດວິທະຍາຂອງແຫຼ່ງນໍ້າ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","19","37",""
"207","205AL322","ທົດລອງເຄມີວິເຄາະ 2","1(0-3-1)","BSCCHEV","3","1","12","2023-2024","1","1","","",""
"208","205AN322","ເຄມີວິເຄາະ 2","3(3-0-6)","BSCCHEV","3","1","12","2023-2024","3","3","","",""
"209","205CT321","ໂຄຣມາໂຕກຣາບຟີ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","","",""
"210","205EL213","ພາສາອັງກິດສຳລັບເຄ​ມີ​ສາດ​ 3","1(0-2-1)","BSCCHEV","3","1","12","2023-2024","1","1","","",""
"211","205EL321","ການຈັດການຄຸນນະພາບສິ່ງແວດລ້ອມແລະກົດໝາຍສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","","",""
"212","205RH311","ວິທີການຄົ້ນຄວ້າ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","","",""
"213","205SP321","ສະເປັກໂຕສະໂກປີ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","","",""
"214","205WM321","ຈຸລະຊີບວິທະຍາຂອງນ້ຳເປື້ອນ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","","",""
"215","205WT321x","ການບຳບັດນໍ້າເປື້ອນ","2(2-0-4)","BSCCHEV","3","1","12","2023-2024","2","2","","",""
"243","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCCHEV","3","2","1","2023-2024","2","2","18","",""
"244","205EI321","ການ​ປະ​ເມີນ​ຜົນ​ກະ​ທົບຕໍ່​​ສິ່ງ​ແວດ​ລ້​ອມ​","2(2-0-7)","BSCCHEV","3","2","12","2023-2024","2","2","","",""
"245","205ET321","ພິດວິທະຍາສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCHEV","3","2","12","2023-2024","2","2","","",""
"246","205FW321","ພາກ​ສະໜາມ (Fieldwork)  ","1(0-2-1)","BSCCHEV","3","2","12","2023-2024","1","1","","",""
"247","205IA321","ວິເຄາະໂດຍໃຊ້ເຄື່ອງມື","3(3-0-6)","BSCCHEV","3","2","12","2023-2024","3","3","","",""
"248","205IE321","ເຄມີອຸດສາຫະກຳແລະສະພາບແວດລ້ອມ","2(2-0-4)","BSCCHEV","3","2","12","2023-2024","2","2","","",""
"249","205IL321","ທົດລອງວິເຄາະໂດຍໃຊ້ເຄື່ອງມື","1(0-3-1)","BSCCHEV","3","2","12","2023-2024","1","1","","",""
"250","205PE321","ໂພລີເມີກັບວຽກງານ­ທາງສິ່ງແວດລ້ອມ","2(2-0-4)","BSCCHEV","3","2","12","2023-2024","2","2","","",""
"251","205PR101","ຝຶກງານ ຫຼື ເຮັດບົດໂຄງການນ້ອຍ","1(0-0-5)","BSCCHEV","3","2","12","2023-2024","1","1","","",""
"252","205SN321","ສໍາມະນາ 1","1(0-2-1)","BSCCHEV","3","2","12","2023-2024","1","1","","",""
"253","205SN321x","ສຳມະນາສຳລັບເຄມີສິ່ງແວດລ້ອມ 1","1(0-2-1)","BSCCHEV","3","2","12","2023-2024","1","1","","",""
"216","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCCHEV","4","1","1","2023-2024","2","2","15","20",""
"217","205FP421x","ໂຄງການຈົບຊັ້ນ","1(0-0-3)","BSCCHEV","4","1","12","2023-2024","1","1","","",""
"218","205OW421","ການນຳໃຊ້ສິ່ງເສດເຫຼືອອົງຄະທາດ","2(2-0-4)","BSCCHEV","4","1","12","2023-2024","2","2","","",""
"219","205SA421xx","ການວິເຄາະຂໍ້ມູນດ້ວຍໂປຣແກຣມສຳເລັດຮູບທາງສະຖິຕິ","3(2-2-5)","BSCCHEV","4","1","12","2023-2024","3","3","","",""
"220","205SN422","ສຳມະນາ 2","1(0-2-1)","BSCCHEV","4","1","12","2023-2024","1","1","","",""
"221","205WM421","ການຈັດການຂີ້ເຫຍື້ອ ແລະ ສິ່ງເສດເຫຼືອທີ່ເປັນອັນຕະລາຍ...","2(2-0-4)","BSCCHEV","4","1","12","2023-2024","2","2","","",""
"222","205xxxx6","ວິຊາເລືອກ","2(2-0-4)","BSCCHEV","4","1","12","2023-2024","2","2","","",""
"223","205xxxx7","ວິຊາເລືອກ","2(2-0-4)","BSCCHEV","4","1","12","2023-2024","2","2","","",""
"254","205FP421xx","ໂຄງການຈົບຊັ້ນ","5(0-0-15)","BSCCHEV","4","2","12","2023-2024","5","5","5","",""
"255","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCCPR","1","1","1","2023-2024","2","2","17","36",""
"256","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCCPR","1","1","1","2023-2024","2","2","","",""
"257","205CF111","ຄອມພີວເຕີພື້ນຖານ","3(2-2-5)","BSCCPR","1","1","2","2023-2024","3","3","","",""
"258","205CP111","ການ​ຂຽນ​ໂປຣ​ແກຣມດ້ວຍ​ພາສາ C","3(2-2-5)","BSCCPR","1","1","2","2023-2024","3","3","","",""
"259","205CS111x","ລະບົບ​ຄອມ​ພິວ​ເຕີ","2(2-0-4)","BSCCPR","1","1","2","2023-2024","2","2","","",""
"260","205DB111","ຄວາມ​ຮູ້​ພື້ນຖານ​ກ່ຽວ​ກັບ​ຖານ​ຂໍ້​ມູນ(MS Access)","3(2-2-5)","BSCCPR","1","1","2","2023-2024","3","3","","",""
"261","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCCPR","1","1","1","2023-2024","2","2","","",""
"283","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCCPR","1","2","1","2023-2024","2","2","19","",""
"284","205CN121","ການສື່ສານຂໍ້ມູນ ແລະ ເຄືອຂ່າຍ","3(2-2-5)","BSCCPR","1","2","2","2023-2024","3","3","","",""
"285","205DB112x","ລະບົບຖານຂໍ້ມູນແບບໂຄງສ້າງ","3(2-2-5)","BSCCPR","1","2","2","2023-2024","3","3","","",""
"286","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCCPR","1","2","1","2023-2024","2","2","","",""
"287","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCCPR","1","2","2","2023-2024","3","3","","",""
"288","205JA121","​ພາສາໂປຣ​ແກຣມ1(Java1)","3(2-2-5)","BSCCPR","1","2","2","2023-2024","3","3","","",""
"289","205MC111","ຄະນິດສາດ​ສໍາລັບ​ຄອມ​ພິວ​ເຕີ1","3(2-2-5)","BSCCPR","1","2","2","2023-2024","3","3","","",""
"262","205AD221xx","​ໂຄງ​ສ້າງ​ຂໍ້​ມູນ ​ແລະ ຂັ້ນ​ຕອນ​ວິທີ","3(2-2-5)","BSCCPR","2","1","2","2023-2024","3","3","16","38",""
"263","205LN221","ພື້ນຖານການບໍລິຫານເຄື່ອງແມ່ຂ່າຍດ້ວຍ Linux","3(2-2-5)","BSCCPR","2","1","2","2023-2024","3","3","","",""
"264","205SH221","ການຂຽນໂປຣແກຣມດ້ວຍພາສາ C# 1","3(2-2-5)","BSCCPR","2","1","2","2023-2024","3","3","","",""
"265","205EC203x","ພາສາ​ອັງກິດ​ສໍາລັບ​ຄອມ​ພິວ​ເຕີ1","1(0-2-1)","BSCCPR","2","1","2","2023-2024","1","1","","",""
"266","205UX211","ການອ​ອກ​ແບບ UX-UI","3(2-2-5)","BSCCPR","2","1","2","2023-2024","3","3","","",""
"267","205JA222","ພາສາໂປຣ​ແກຣມ2(Java2)","3(2-2-5)","BSCCPR","2","1","2","2023-2024","3","3","","",""
"290","205WS211","ພື້ນຖານການບໍລິຫານເຄື່ອງແມ່ຂ່າຍດ້ວຍ Window","3(2-2-5)","BSCCPR","2","2","2","2023-2024","3","3","22","",""
"291","205EC102","ພາສາ​ອັງກິດ​ສໍາລັບ​ຄອມ​ພິວ​ເຕີ2","1(0-2-1)","BSCCPR","2","2","2","2023-2024","1","1","","",""
"292","205IM221","ການປະມວນຜົນຮູບພາບ","3(2-2-5)","BSCCPR","2","2","2","2023-2024","3","3","","",""
"293","205SH322x","ການຂຽນໂປຣແກຣມດ້ວຍພາສາ C# 2","3(2-2-5)","BSCCPR","2","2","2","2023-2024","3","3","","",""
"294","205MO211","MOS","3(2-2-5)","BSCCPR","2","2","2","2023-2024","3","3","","",""
"295","205ND201","ສຶກສາປ້ອງກັນຕົວ","3(0-6-1)","BSCCPR","2","2","1","2023-2024","3","3","","",""
"296","205OD221xxx","ການວິເຄາະ ແລະ ອອກແບບລັກສະນະວັດຖຸ","3(2-2-5)","BSCCPR","2","2","2","2023-2024","3","3","","",""
"297","205AD222x","​ໂຄງ​ສ້າງ​ຂໍ້​ມູນ ​ແລະ ຂັ້ນ​ຕອນ​ວິທີ2","3(2-2-5)","BSCCPR","2","2","2","2023-2024","3","3","","",""
"268","205DM221","ດາຕາ ມາຍນິ່ງ (Data Mining)","3(2-2-5)","BSCCPR","3","1","12","2023-2024","3","3","20","39",""
"269","205LN321","ພື້ນຖານການບໍລິຫານເຄື່ອງແມ່ຂ່າຍດ້ວຍ Linux","3(2-2-5)","BSCCPR","3","1","12","2023-2024","3","3","","",""
"270","205OS311","ລະບົບ​ປະຕິບັດ​ການ","3(2-2-5)","BSCCPR","3","1","12","2023-2024","3","3","","",""
"271","205RM311x","ວິທີ​ການ​ຄົ້ນ​ຄ້ວາ","2(2-0-4)","BSCCPR","3","1","12","2023-2024","2","2","","",""
"272","205SH321","ການຂຽນໂປຣແກຣມດ້ວຍພາສາ C# 1","3(2-2-5)","BSCCPR","3","1","12","2023-2024","3","3","","",""
"273","205VB322","ການຂຽນໂປຣແກຣມດ້ວຍ VB.NET 2","3(2-2-5)","BSCCPR","3","1","12","2023-2024","3","3","","",""
"274","205WT321","ເວບເຊີເວີ ແລະ ເວບເທັກໂນໂລຢີ","3(2-2-5)","BSCCPR","3","1","12","2023-2024","3","3","","",""
"298","205AP331","CompTIA A+","3(2-2-5)","BSCCPR","3","2","12","2023-2024","3","3","19","",""
"299","205SA321","ການວິເຄາະ ແລະ ອອກແບບລະບົບ(ສໍາລັບໂປແກມ)","4(3-2-7)","BSCCPR","3","2","12","2023-2024","4","4","","",""
"300","205SC321","ສຳມະນາ 1","1(0-2-1)","BSCCPR","3","2","12","2023-2024","1","1","","",""
"301","205SE311","ວິສະວະກຳຊັອບແວ (Process and Tools)","3(2-2-5)","BSCCPR","3","2","12","2023-2024","3","3","","",""
"302","205SH322","ການຂຽນໂປຣແກຣມດ້ວຍພາສາ C# 2","3(2-2-5)","BSCCPR","3","2","12","2023-2024","3","3","","",""
"303","205WS311","ການບໍລິຫານເຄື່ອງແມ່ຂ່າຍ ດ້ວຍ Windows","3(2-2-5)","BSCCPR","3","2","12","2023-2024","3","3","","",""
"304","S20HR223","ມະນຸດ​ສໍາພັນ","2(2-0-0)","BSCCPR","3","2","1","2023-2024","2","2","","",""
"275","251AI411","ປັນຍາປະດິດ","3(3-0-0)","BSCCPR","4","1","12","2023-2024","3","3","21","30",""
"276","251DI321","ສະຖາປັດຕະຍະກໍາຊອບແວ","3(2-2-0)","BSCCPR","4","1","12","2023-2024","3","3","","",""
"277","251MI221","ລະບົບຂ່າວສານເພື່ອການບໍລິຫານ","3(3-0-0)","BSCCPR","4","1","12","2023-2024","3","3","","",""
"278","251SM422","ສໍາມະນາ2","1(0-2-1)","BSCCPR","4","1","12","2023-2024","1","1","","",""
"279","252LS421","ບໍ່ລິຫານເຄື່ອງແມ່ຂ່າຍດ້ວຍ Linux","3(2-2-5)","BSCCPR","4","1","12","2023-2024","3","3","","",""
"280","252PM421","ການບໍລິຫານໂຄງການ","3(3-0-0)","BSCCPR","4","1","12","2023-2024","3","3","","",""
"281","710GE328","ບໍລິຫານການສຶກສາ","3(3-0-0)","BSCCPR","4","1","13","2023-2024","3","3","","",""
"282","S00PO101","ການເມືອງ","2(2-0-4)","BSCCPR","4","1","1","2023-2024","2","2","","",""
"305","252IP431","ເຝິກງານ","3(0-0-15)","BSCCPR","4","2","12","2023-2024","3","3","9","",""
"306","252PJ431","ໂຄງການຈົບຊັ້ນ/ສອບເສັງ","6(0-0-30)","BSCCPR","4","2","12","2023-2024","6","6","","",""
"307","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCCS","1","1","1","2023-2024","2","2","19","37",""
"308","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCCS","1","1","1","2023-2024","2","2","","",""
"309","205BC121","ການນໍາໃຊ້ຊອບແວພື້້ນຖານ","2(0-4-2)","BSCCS","1","1","2","2023-2024","2","2","","",""
"310","205CP111","ການ​ຂຽນ​ໂປຣ​ແກຣມດ້ວຍ​ພາສາ C","3(2-2-5)","BSCCS","1","1","2","2023-2024","3","3","","",""
"311","205CS121","ລະບົບຄອມພິວເຕີ","2(2-0-4)","BSCCS","1","1","2","2023-2024","2","2","","",""
"312","205DB111","ຄວາມ​ຮູ້​ພື້ນຖານ​ກ່ຽວ​ກັບ​ຖານ​ຂໍ້​ມູນ(MS Access)","3(2-2-5)","BSCCS","1","1","2","2023-2024","3","3","","",""
"313","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCCS","1","1","1","2023-2024","2","2","","",""
"314","205MC111","ຄະນິດສາດ​ສໍາລັບ​ຄອມ​ພິວ​ເຕີ1","3(2-2-5)","BSCCS","1","1","2","2023-2024","3","3","","",""
"337","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCCS","1","2","1","2023-2024","2","2","18","",""
"338","205CA111","​ແຄລຄູ​ລັດສ໌ 1","3(2-2-5)","BSCCS","1","2","2","2023-2024","3","3","","",""
"339","205DB122","ລະບົບຖານຂໍ້ມູນ(Database Systems)","3(2-2-5)","BSCCS","1","2","2","2023-2024","3","3","","",""
"340","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCCS","1","2","1","2023-2024","2","2","","",""
"341","205FS111","ສະຖິຕິ​ພື້ນຖານ","3(2-2-5)","BSCCS","1","2","2","2023-2024","3","3","","",""
"342","205OS121","ລະບົບປະຕິບັດການ","2(2-0-4)","BSCCS","1","2","2","2023-2024","2","2","","",""
"343","205PY121","ການຂຽນໂປຣແກຣມພາສາ Python ສໍາລັບ Data Science","3(2-2-5)","BSCCS","1","2","2","2023-2024","3","3","","",""
"315","205AD221","ໂຄງ​ສ້າງ​ຂໍ້​ມູນ ແລະ ຂັ້ນ​ຕອນ​ວິທີ","3(2-2-5)","BSCCS","2","1","2","2023-2024","3","3","18","38",""
"316","205CA112","ແຄນ​ຄູ​ລັດ​ສ໌ 2","3(2-2-5)","BSCCS","2","1","2","2023-2024","3","3","","",""
"317","205DS221","ດາຕາຊາຍ(Data Science)","3(2-2-5)","BSCCS","2","1","12","2023-2024","3","3","","",""
"318","205EC201","ພາສາ​ອັງກິດ​ສຳລັບ​ຄອມ​ພິວ​ເຕີ 1","1(0-2-1)","BSCCS","2","1","2","2023-2024","1","1","","",""
"319","205MC212","ຄະນິດສາດ​ສຳລັບ​ຄອມ​ພິວ​ເຕີ 2","3(2-2-5)","BSCCS","2","1","2","2023-2024","3","3","","",""
"320","205MI211","ລະບົບ​ຂ່າວສານ​ເພື່ອ​ການ​ບໍລິຫານ(MIS)","2(2-0-4)","BSCCS","2","1","2","2023-2024","2","2","","",""
"321","205RL221","ການຂຽນໂປຣແກຣມພາສາ R ສໍາລັບ Data Science","3(2-2-5)","BSCCS","2","1","12","2023-2024","3","3","","",""
"344","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCCS","2","2","1","2023-2024","3","3","20","",""
"345","115HR223","ມະນຸດ​ສຳພັນ","2(2-0-4)","BSCCS","2","2","1","2023-2024","2","2","","",""
"346","205AD222","ໂຄງ​ສ້າງ​ຂໍ້​ມູນ ແລະ ຂັ້ນ​ຕອນ​ວິທີ 2","3(2-2-5)","BSCCS","2","2","12","2023-2024","3","3","","",""
"347","205DM221","ດາຕາ ມາຍນິ່ງ (Data Mining)","3(2-2-5)","BSCCS","2","2","12","2023-2024","3","3","","",""
"348","205DP221","Database Programming","3(2-2-5)","BSCCS","2","2","12","2023-2024","3","3","","",""
"349","205OD221xx","ການ​ວິເຄາະ ແລະ ອອກ​ແບບ​ລະບົບ(ແບບວັດຖຸ)","3(2-2-5)","BSCCS","2","2","12","2023-2024","3","3","","",""
"350","205SR211","ສະຖິຕິ​ເພື່ອ​ງານ​ວິ​ໄຈ","3(2-2-5)","BSCCS","2","2","2","2023-2024","3","3","","",""
"322","205AI321","ປັນຍາປະດິດ (Artificial Intelligence)","3(2-0-7)","BSCCS","3","1","12","2023-2024","3","3","18","36",""
"323","205CN321","ການ​ສື່ສານ​ຂໍ້​ມູນ ​ແລະ ​ເຄືອ​ຂ່າຍ","3(2-2-5)","BSCCS","3","1","12","2023-2024","3","3","","",""
"324","205CV321","Computer Vision: ປະມວນຜົນຮູບພາບ (Digital Image Pro...","3(2-2-5)","BSCCS","3","1","12","2023-2024","3","3","","",""
"325","205EC301","ພາສາອັງກິດສຳລັບຄອມພິວເຕີ 2","1(0-2-1)","BSCCS","3","1","2","2023-2024","1","1","","",""
"326","205ET211","ໄຟຟ້າສໍາລັບຄອມພິວເຕີ (Electricity 1)","3(2-2-5)","BSCCS","3","1","12","2023-2024","3","3","","",""
"327","205IR221","ການສືບຄົ້ນຂໍ້ມູນຂ່າວສານ (Information Retrieval)","2(2-0-4)","BSCCS","3","1","12","2023-2024","2","2","","",""
"328","205RM321x","ວິທີການຄົຶ້ນຄວ້າ (ວິທະຍາສາດຄອມພິວເຕີ)","3(2-2-5)","BSCCS","3","1","12","2023-2024","3","3","","",""
"351","205AP321","ການບໍາລຸງຮັກສາ ແລະ ແກ້ໄຂບັນຫາຄອມພິວເຕີ (CompTIA A+...","3(2-2-5)","BSCCS","3","2","12","2023-2024","3","3","18","",""
"352","205BT321","Introduction to Blockchain Technology","2(2-0-4)","BSCCS","3","2","12","2023-2024","2","2","","",""
"353","205CG321","ຄອມພິວເຕີກຣາບຟິກ","3(2-2-5)","BSCCS","3","2","12","2023-2024","3","3","","",""
"354","205ML321","ມາຊີນເລີນນິ່ງ (Machine Learning)","2(2-0-4)","BSCCS","3","2","12","2023-2024","2","2","","",""
"355","205SE321","ວິສະວະກຳຊັອບແວ","2(2-0-4)","BSCCS","3","2","12","2023-2024","2","2","","",""
"356","205SF321","Computer Security and Forensics","2(2-0-4)","BSCCS","3","2","12","2023-2024","2","2","","",""
"357","205SM311","ສຳມະນາ 1","1(0-2-1)","BSCCS","3","2","12","2023-2024","1","1","","",""
"358","205WS311","ການບໍລິຫານເຄື່ອງແມ່ຂ່າຍ","3(2-2-5)","BSCCS","3","2","12","2023-2024","3","3","","",""
"329","115PO401","ວິຊາການ​ເມືອງ","2(2-0-4)","BSCCS","4","1","1","2023-2024","2","2","17","26",""
"330","205BD421","ບິກດາຕາ (Introduction to Big Data)","2(2-0-4)","BSCCS","4","1","12","2023-2024","2","2","","",""
"331","205CC421","Intoduction to Cloud Computing","2(2-0-4)","BSCCS","4","1","12","2023-2024","2","2","","",""
"332","205EC401","ພາສາອັງກິດສໍາລັບຄອມພິວເຕີ3","1(0-2-1)","BSCCS","4","1","12","2023-2024","1","1","","",""
"333","205EM321","ການຄ້າດ້ວຍເອເລັກໂຕຣນິກ(E-Commerce)","3(2-2-5)","BSCCS","4","1","12","2023-2024","3","3","","",""
"334","205HM421","Hybrid Mobile App","3(2-2-5)","BSCCS","4","1","12","2023-2024","3","3","","",""
"335","205IO421","Introduction to the Internet of Things (IOT)","3(2-0-7)","BSCCS","4","1","12","2023-2024","3","3","","",""
"336","205SM412","ສໍາມະນາ2","1(0-2-1)","BSCCS","4","1","12","2023-2024","1","1","","",""
"359","205FP411","ໂຄງການຈົບຊັ້ນ/ສອບເສັງ","6(0-0-18)","BSCCS","4","2","12","2023-2024","6","6","9","",""
"360","205IP411","ລົງເຝິກງານ/ບົດໂຄງການນ້ອຍ","3(0-0-9)","BSCCS","4","2","12","2023-2024","3","3","","",""
"361","115LS101","ລາວສຶກສາ1","2(2-0-4)","BSCCW","1","1","1","2023-2024","2","2","19","38",""
"362","145PY101","ຈິດຕະວິທະຍາ​ທົ່ວ​ໄປ","2(2-0-4)","BSCCW","1","1","1","2023-2024","2","2","","",""
"363","205BC121","ການນໍາໃຊ້ຊອບແວພື້້ນຖານ","2(0-4-2)","BSCCW","1","1","2","2023-2024","2","2","","",""
"364","205CS121","ລະບົບຄອມພິວເຕີ","2(2-0-4)","BSCCW","1","1","2","2023-2024","2","2","","",""
"365","205DB121","ຄວາມ​ຮູ້​ພື້ນຖານ​ກ່ຽວ​ກັບ​​ຖານ​ຂໍ້​ມູນ (Ms Access)","3(2-2-5)","BSCCW","1","1","2","2023-2024","3","3","","",""
"366","205ES101","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ 1","2(0-4-2)","BSCCW","1","1","1","2023-2024","2","2","","",""
"367","205JA121","​ພາສາໂປຣ​ແກຣມ1(Java1)","3(2-2-5)","BSCCW","1","1","2","2023-2024","3","3","","",""
"368","205MC111","ຄະນິດສາດ​ສໍາລັບ​ຄອມ​ພິວ​ເຕີ1","3(2-2-5)","BSCCW","1","1","2","2023-2024","3","3","","",""
"392","135LS102","ລາວ​ສຶກສາ2","2(2-0-4)","BSCCW","1","2","1","2023-2024","2","2","19","",""
"393","205CN321","ການ​ສື່ສານ​ຂໍ້​ມູນ ​ແລະ ​ເຄືອ​ຂ່າຍ","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"394","205DS122","ລະບົບຖານ​ຂໍ້​ມູນ (Database Systems)","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"395","205ES102","ພາສາອັງກິດສໍາລັບວິທະຍາສາດ2","2(0-4-2)","BSCCW","1","2","1","2023-2024","2","2","","",""
"396","205MC212","ຄະນິດສາດ​ສຳລັບ​ຄອມ​ພິວ​ເຕີ 2","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"397","205WM121","ການອອກແບບເວັບໄຊ","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"398","205WP122","ພື້ນຖານເວບໂປຣແກຣມມິງ","3(2-2-5)","BSCCW","1","2","2","2023-2024","3","3","","",""
"369","205CG221","ຄອມພິວເຕີກຣາຟິກ","3(2-2-5)","BSCCW","2","1","2","2023-2024","3","3","20","",""
"370","205DA221","ໂຄງສ້າງຂອງຂໍ້ມູນ ແລະ ຂັ້ນຕອນວິທີ ສໍາລັບການພັດທະນາເ...","3(2-2-5)","BSCCW","2","1","2","2023-2024","3","3","","",""
"371","205EC201","ພາສາ​ອັງກິດ​ສຳລັບ​ຄອມ​ພິວ​ເຕີ 1","1(0-2-1)","BSCCW","2","1","2","2023-2024","1","1","","",""
"372","205IT221","​ເຕັກ​ໂນ​ໂລ​ຊີ​ຂ່າ​ວສານ","2(2-0-4)","BSCCW","2","1","2","2023-2024","2","2","","",""
"373","205JS221","​ການພັດທະນາເວບໄຊດ້ວຍພາສາ JSP1","3(2-2-5)","BSCCW","2","1","12","2023-2024","3","3","","",""
"374","205MB211","ການ​ຂຽນ​ໂປຣ​ແກຣມ​ເທິງ​ມື​ຖື 1","3(2-2-5)","BSCCW","2","1","12","2023-2024","3","3","","",""
"375","205OS211","ລະບົບປະ​ຕິ​ບັດ​ການ","2(2-0-4)","BSCCW","2","1","2","2023-2024","2","2","","",""
"376","205PH221","ການພັດທະນາເວບໄຊດ້ວຍພາສາ PHP1","3(2-2-5)","BSCCW","2","1","12","2023-2024","3","3","","40",""
"399","015ND201","ສຶກສາປ້ອງກັນຕົວ(ບໍ່ໄດ້ຈ່າຍຄ່າໜ່ວຍກິດ)","3(0-2-7)  ","BSCCW","2","2","1","2023-2024","3","3","20","",""
"400","205AP221","ການບໍາລຸງຮັກສາ ແລະ ແກ້ໄຂບັນຫາຄອມພິວເຕີ (CompTAI A+...","3(2-2-5)","BSCCW","2","2","2","2023-2024","3","3","","",""
